LISTA,CANDIDATO
IMPEGNO CIVICO CALISTE PRESIDENTE,NUNZIA FIRRINCIELI
IMPEGNO CIVICO CALISTE PRESIDENTE,FLAVIO GENZANO
IMPEGNO CIVICO CALISTE PRESIDENTE,GIUSEPPINA GIACINTI
IMPEGNO CIVICO CALISTE PRESIDENTE,PASQUALE GIUPPONE
IMPEGNO CIVICO CALISTE PRESIDENTE,VITO GUIDOBALDI
IMPEGNO CIVICO CALISTE PRESIDENTE,MARCO MALLIA
IMPEGNO CIVICO CALISTE PRESIDENTE,GIANFRANCO PACCIANI
IMPEGNO CIVICO CALISTE PRESIDENTE,FABIO PALLADINO
IMPEGNO CIVICO CALISTE PRESIDENTE,ALESSIA PAVONE
IMPEGNO CIVICO CALISTE PRESIDENTE,PAOLA PIPERNI
IMPEGNO CIVICO CALISTE PRESIDENTE,FRANCESCO SIRLETO
IMPEGNO CIVICO CALISTE PRESIDENTE,ANGELO SPERANZA
IMPEGNO CIVICO CALISTE PRESIDENTE,BIAGIO VALENTE
IMPEGNO CIVICO CALISTE PRESIDENTE,FABRIZIO VULPIANI
SINISTRA CIVICA ECOLOGISTA,MAURIZIO MATTANA
SINISTRA CIVICA ECOLOGISTA,CELESTE BURATTI
SINISTRA CIVICA ECOLOGISTA,ADRIANO BONO
SINISTRA CIVICA ECOLOGISTA,MICHELE CAPUANO
SINISTRA CIVICA ECOLOGISTA,ALESSANDRO MORICONI
SINISTRA CIVICA ECOLOGISTA,MONICA DE BIASIO
SINISTRA CIVICA ECOLOGISTA,EMILIANO ELVETICI
SINISTRA CIVICA ECOLOGISTA,FAUSTA GALLO
SINISTRA CIVICA ECOLOGISTA,BARBARA GALLUZZO
SINISTRA CIVICA ECOLOGISTA,GIORGIA GNOCCHI
SINISTRA CIVICA ECOLOGISTA,DAVIDE IANNACCONE
SINISTRA CIVICA ECOLOGISTA,ALESSANDRO LATINO
SINISTRA CIVICA ECOLOGISTA,VINCENZO LIBONATI
SINISTRA CIVICA ECOLOGISTA,DARIO MANNI
SINISTRA CIVICA ECOLOGISTA,ARIANNA MONNI
SINISTRA CIVICA ECOLOGISTA,ANGELO PERRI
SINISTRA CIVICA ECOLOGISTA,GABRIELE POLESEL
SINISTRA CIVICA ECOLOGISTA,SILVIA RICCIARDI
SINISTRA CIVICA ECOLOGISTA,PAOLA RUFO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,EVA VITTORIA CAMMERINO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SANDRO ALQUATI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ROBERTA BRUNO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,STANISLAV ALYEKSANDROV
