SEZIONE,PARTITO COMUNISTA MARCO RIZZO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,MOVIMENTO STORICO ROMANO LISTA NERONE,RICONQUISTARE L'ITALIA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,POTERE AL POPOLO,SETTIMO SOSTENIBILE LISTA CIVICA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,TOTALE,MUNICIPIO,AFFLUENZA
903,4,28,22,12,13,77,4,0,0,2,9,37,19,19,5,0,0,0,42,26,21,340,7,0.43645699614890887
904,0,30,34,8,8,78,3,0,1,0,12,66,12,24,1,1,2,0,38,32,20,370,7,0.46835443037974683
905,1,12,17,0,6,121,2,1,0,2,6,46,13,21,1,0,6,0,19,18,14,306,7,0.5024630541871922
906,2,24,37,12,3,110,1,0,1,0,13,57,13,20,1,0,1,1,59,30,29,414,7,0.5240506329113924
907,2,16,21,7,4,61,0,1,1,0,6,44,10,22,1,1,3,0,32,18,15,265,7,0.5145631067961165
908,0,27,43,22,5,94,2,2,1,7,10,68,20,20,9,1,3,2,63,23,24,446,7,0.525323910482921
909,7,16,21,7,3,85,6,0,0,4,9,72,13,20,3,1,2,2,41,21,16,349,7,0.5303951367781155
910,1,15,39,7,6,62,2,0,1,3,9,64,9,37,2,1,2,0,43,27,31,361,7,0.47688243064729197
911,3,20,46,9,4,71,3,3,1,0,10,78,19,13,0,4,5,2,47,20,18,376,7,0.4915032679738562
912,4,11,36,19,9,78,3,4,2,2,15,105,11,20,5,1,4,2,49,23,30,433,7,0.5082159624413145
913,3,9,27,7,7,54,14,1,0,4,10,53,17,27,2,0,1,2,37,21,13,309,7,0.5107438016528926
914,4,7,22,13,3,67,4,3,0,1,10,118,20,11,3,5,1,6,52,18,10,378,7,0.5684210526315789
915,3,20,24,13,14,83,14,1,2,10,13,93,24,26,1,6,0,2,53,55,0,457,7,0.5083426028921023
916,5,12,22,8,7,60,0,2,1,4,15,57,28,19,2,4,2,0,25,31,23,327,7,0.4684813753581662
917,9,15,40,9,8,68,6,4,2,7,11,61,21,27,6,36,6,5,42,34,29,446,7,0.4714587737843552
918,4,23,18,16,3,31,5,17,2,3,7,41,13,27,0,3,5,2,23,19,14,276,7,0.43328100470957615
919,3,14,22,8,7,54,2,4,0,6,22,79,23,28,5,4,8,2,29,40,28,388,7,0.35793357933579334
931,4,8,4,5,2,53,0,2,5,3,20,49,28,27,1,7,12,2,23,39,39,333,7,0.5285714285714286
941,0,5,0,4,1,1,1,0,1,0,0,5,12,11,1,0,0,2,3,1,1,49,7,0.07413010590015129
942,4,16,21,14,4,85,3,1,0,5,9,68,49,33,3,1,1,1,51,27,20,416,7,0.5135802469135803
943,2,6,20,14,1,72,1,2,2,2,11,82,13,28,3,3,12,0,34,36,25,369,7,0.44945188794153473
944,1,15,9,13,4,79,0,0,2,0,17,60,19,28,1,1,7,0,13,27,16,312,7,0.5379310344827586
