SEZIONE,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LISTA CIVICA GUALTIERI SINDACO,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,RICONQUISTARE L'ITALIA,LIBERISTI ITALIANI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,NOI X IL 9 MUNICIPIO,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
1204,0,19,101,7,4,3,3,0,0,0,0,0,25,160,37,10,17,0,0,0,0,386,9,0.37954768928220256
1205,3,19,40,3,6,7,0,3,2,1,4,3,36,115,27,5,19,45,1,131,36,506,9,0.41509433962264153
1206,0,6,46,1,5,2,2,1,1,2,0,1,32,79,26,4,4,14,0,12,17,255,9,0.24853801169590642
1207,1,31,70,51,5,5,10,3,2,2,0,3,87,145,27,8,14,93,1,39,61,658,9,0.49473684210526314
1208,0,19,75,10,8,3,6,12,2,3,0,4,30,126,38,5,8,56,0,38,63,506,9,0.49559255631733595
1209,0,16,50,7,5,6,5,24,3,2,0,2,34,83,32,8,9,24,0,32,29,371,9,0.4541003671970624
1210,7,12,39,9,3,3,3,0,1,0,2,1,34,65,41,3,10,33,0,14,28,308,9,0.41011984021304926
1211,4,20,76,4,13,3,9,15,2,2,1,5,32,124,39,6,11,57,3,49,50,525,9,0.481651376146789
1212,0,19,84,9,4,8,22,17,1,3,2,2,34,141,38,6,10,30,2,38,45,515,9,0.5191532258064516
1213,2,12,37,10,3,3,5,5,1,4,0,3,20,82,16,3,10,29,5,25,20,295,9,0.4357459379615953
1214,2,21,40,3,6,1,7,5,4,3,0,6,46,102,37,12,8,23,1,95,51,473,9,0.39581589958158997
1215,1,17,61,11,10,5,9,3,1,4,1,3,33,84,28,13,14,39,1,140,52,530,9,0.43983402489626555
1216,2,20,54,7,10,14,1,2,1,1,0,0,28,154,28,1,16,51,0,62,54,506,9,0.5075225677031093
1218,1,21,76,3,5,3,0,3,2,3,0,0,24,83,19,11,6,113,2,15,16,406,9,0.5363276089828269
1294,2,1,25,1,0,2,1,0,0,0,0,1,3,8,2,1,2,7,0,5,9,70,9,0.4605263157894737
1537,4,25,81,6,10,0,1,0,2,0,0,0,17,98,18,7,11,55,1,51,28,415,9,0.5653950953678474
1538,0,27,84,4,3,1,5,2,2,1,2,2,18,67,10,8,16,85,0,82,41,460,9,0.572139303482587
1539,0,20,97,3,13,3,3,0,1,1,0,2,12,47,7,5,6,63,0,56,37,376,9,0.5164835164835165
1540,1,27,76,8,7,12,6,3,5,1,0,3,14,51,9,3,6,62,0,55,51,400,9,0.5524861878453039
1541,3,22,48,0,8,8,7,0,0,0,0,1,14,78,7,6,9,58,0,72,42,383,9,0.5965732087227414
1542,4,18,78,8,9,5,6,0,1,0,1,1,12,60,22,7,9,62,2,50,32,387,9,0.5733333333333334
1543,1,13,42,6,4,3,1,0,0,1,0,2,11,39,13,3,15,60,6,35,34,289,9,0.5504761904761905
1544,1,16,67,5,7,16,2,1,2,0,1,1,20,48,11,12,11,82,1,71,47,422,9,0.5403329065300896
1545,6,32,116,11,26,4,16,1,2,2,0,5,19,57,10,4,6,114,4,29,37,501,9,0.542795232936078
1546,5,20,93,7,11,8,14,2,2,1,2,1,13,80,10,4,13,124,0,22,25,457,9,0.5858974358974359
1547,3,32,100,10,30,12,19,0,2,0,1,3,19,52,13,4,6,156,1,18,24,505,9,0.6352201257861635
1548,10,29,93,6,9,1,13,3,1,2,2,4,13,66,8,10,25,136,0,15,26,472,9,0.557919621749409
1549,2,30,76,4,3,8,19,2,5,2,0,5,14,61,9,9,3,112,0,29,22,415,9,0.5570469798657718
1550,2,24,59,5,13,4,16,0,1,1,4,1,19,59,7,8,14,63,1,22,17,340,9,0.5743243243243243
1551,2,18,85,9,12,6,12,1,3,1,4,2,11,52,15,8,4,131,3,23,23,425,9,0.5845942228335625
1552,2,26,95,5,3,11,20,2,1,0,4,0,30,69,9,17,12,125,3,19,26,479,9,0.5576251455180442
1553,3,12,91,12,17,6,43,2,4,4,1,5,16,54,18,7,8,88,1,24,31,447,9,0.5209790209790209
1554,2,9,22,3,0,3,4,6,2,0,0,0,20,45,13,4,3,18,0,7,19,180,9,0.38876889848812096
1555,1,11,40,1,3,2,3,1,1,2,0,1,27,49,10,5,14,37,2,19,10,239,9,0.38548387096774195
1556,2,11,34,3,4,1,6,4,2,0,0,1,15,55,8,5,15,25,1,20,29,241,9,0.33943661971830985
1557,3,43,88,10,15,4,7,3,3,0,2,5,8,108,17,7,15,67,1,42,35,483,9,0.5603248259860789
1558,5,53,83,11,16,3,8,3,2,2,0,13,15,91,23,6,15,67,0,45,58,519,9,0.5258358662613982
1559,2,32,75,12,14,4,11,7,4,7,2,8,14,81,16,13,8,66,1,37,46,460,9,0.515695067264574
1561,2,17,48,1,9,14,8,0,1,0,0,1,11,54,14,6,4,69,2,18,23,302,9,0.5500910746812386
