LISTA,CANDIDATO
PCI,MARIA PIA BELARDINELLI
PCI,SANDRO BROGLIO
PCI,ADRIANO CAPOCCHI
PCI,GIACOMO COLONNA
PCI,MAURIZIO COSTANTINI
PCI,FABRIZIO DI GIOIA
PCI,GIUSEPPE FORCINITI
PCI,ALBERTO FORTUNATO
PCI,MARIA LUISA GALLO
PCI,MARINA GANZERLI
PCI,RACHEL GIANNINI
PCI,LUCA GIOVAGNOLI
PCI,MONIA GIOVAGNOLI
PCI,STEFANO GORINI
PCI,MAURIZIO IAGHER
PCI,ALESSANDRO LAGI
PCI,EDOARDO LAGI
PCI,MICHELA LAGI
PCI,FLAVIA LAVORATO
PCI,GIULIO MARCHETTI
PCI,MICHELA MOSCONI
PCI,PAOLA PENNA
PCI,DARIA SANTILLI
PCI,SERGIO SANTINELLI
PCI,BIANCA MARIA SCRIVO
PCI,LOREDANA SENSONI
PCI,ANDREA SONAGLIONI
PCI,BRUNO STERI
PCI,EMILIANO TATAFIORE
PCI,VERINO TINABURRI
PCI,ROBERTO VALLOCCHIA
PCI,TIZIANO ZIROLI
PCI,ROBERTA ZOPPI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,CLAUDIA TOSCANO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MAURIZIO REGOSA
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,GIOIANA NARDI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,DANIELE CONCOTELLI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,SAVIN IVANOV BADEV
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,LEA BALDUCCI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MARILENA BERARDI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,SERGIO BETTI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MIRKO BOTTICELLI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MICHELE ADRIANO BRUNACCINI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,LUCA VINCENZO CAPUANO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,GIOVANNA CECERE
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,IDA D'ALESSANDRO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,SORAYA D'APUZZO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,AURORA DERIU
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MARCO MARIA LORENZO MARCELLO FIORELLI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,CARLO MARIA ROMEO FLAMINI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MANUELA FUSACCHIA
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,SIMONE GENTILI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,DEBORAH GIOVARRUSCIO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,CARMINE GUERRA
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,GIAMPIERO GUIDOTTI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,PATRIZIA LUSTRI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MARCELLA MALERBA
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,VERONICA MANCA
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,FRANCESCO MANNO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,ARIANNA MARCOTULLI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MARISTELLA MARESCA
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,ELISA MONTEDORO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,DEBORAH MORABITO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,LEOPOLDO PARENTE
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,NELLY PATRONCINI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,GIOVANNI PICUS
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,GLORIA PORTALUPI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,FRANCESCA RACCAGNI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,SERAFINO SCARPINO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MARCO SPANO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,ORAZIO STRANO
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,GIULIA TAGLIENTI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,LORIS TARDUCCI
PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,LUCA VITTORI
PROGETTO CIVICO ATTIVA ROMA,GEMMA GUERRINI
PROGETTO CIVICO ATTIVA ROMA,ANDREA CAPRARI
PROGETTO CIVICO ATTIVA ROMA,LORELLA PIERALLI
PROGETTO CIVICO ATTIVA ROMA,MICHELE CAMPISI
PROGETTO CIVICO ATTIVA ROMA,ETIENNE GABRIELE BRUCHON
PROGETTO CIVICO ATTIVA ROMA,ELISABETTA D'ALESSANDRO
PROGETTO CIVICO ATTIVA ROMA,FEDERICA POLIDORI
