SEZIONE,PARTITO COMUNISTA MARCO RIZZO,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,REVOLUZIONE CIVICA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,CALENDA SINDACO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,GIORGIA MELONI FRATELLI D'ITALIA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA CATALANO PRESIDENTE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,TOTALE,MUNICIPIO,AFFLUENZA
1348,2,27,43,2,1,44,1,17,20,105,4,1,7,99,35,10,2,9,429,11,0.4782608695652174
1349,4,20,31,3,2,32,1,25,4,75,2,5,6,93,55,6,1,7,372,11,0.4856396866840731
1350,6,33,42,2,1,30,4,24,8,73,6,3,6,103,57,9,0,5,412,11,0.4444444444444444
1351,4,38,39,4,3,18,0,16,7,59,4,2,2,83,56,14,0,5,354,11,0.44416562107904645
1352,6,15,22,1,1,14,0,15,17,44,1,3,1,46,30,14,0,4,234,11,0.3774193548387097
1353,0,12,29,1,1,16,2,10,4,34,2,2,6,76,25,10,0,6,236,11,0.339568345323741
1354,5,21,25,1,4,23,1,17,6,78,7,3,6,60,25,9,2,5,298,11,0.48534201954397393
1355,0,17,29,2,2,36,1,14,16,53,7,4,4,61,30,9,1,10,296,11,0.4539877300613497
1356,9,17,19,2,5,43,0,20,5,85,6,7,10,59,23,14,1,6,331,11,0.6268939393939394
1357,2,15,23,2,1,50,1,15,8,83,7,2,9,54,14,30,1,6,323,11,0.5656742556917689
1358,8,26,23,2,2,75,0,21,8,90,8,7,13,57,20,60,2,8,430,11,0.5787348586810229
1359,8,33,31,3,0,55,1,16,6,91,2,19,14,79,31,17,1,8,415,11,0.5148883374689827
1360,3,21,34,1,3,43,1,28,7,105,4,4,14,85,26,37,1,4,421,11,0.5363057324840764
1361,2,19,43,2,4,52,1,24,11,110,6,7,13,72,18,18,1,6,409,11,0.5704323570432357
1362,7,29,36,1,4,50,0,27,12,108,4,9,12,67,12,26,1,8,413,11,0.49879227053140096
1363,6,20,17,3,2,50,2,16,6,111,3,12,6,78,15,21,0,11,379,11,0.5060080106809078
1364,8,19,23,0,2,40,2,2,14,55,2,6,2,66,21,12,0,5,279,11,0.46812080536912754
1365,4,23,28,1,2,23,1,17,9,80,7,12,10,53,17,12,0,5,304,11,0.5268630849220104
1366,5,26,33,4,0,33,1,17,21,83,9,6,15,58,19,14,1,7,352,11,0.5064748201438849
1367,6,34,28,2,2,53,1,29,5,102,4,6,9,78,26,16,0,5,406,11,0.5449664429530201
1368,5,28,22,2,2,64,1,29,4,101,3,5,7,77,35,16,4,17,422,11,0.5641711229946524
1369,11,34,32,1,4,47,2,24,15,107,9,7,10,67,23,9,1,16,419,11,0.5283732660781841
1370,5,22,29,0,5,50,1,29,9,102,7,12,12,66,21,8,0,6,384,11,0.5393258426966292
1371,4,24,24,1,2,53,3,25,6,93,5,5,14,72,26,11,3,7,378,11,0.5080645161290323
