SEZIONE,GIORGIA MELONI FRATELLI D'ITALIA,POTERE AL POPOLO,REVOLUZIONE CIVICA,MOVIMENTO IDEA SOCIALE M.I.S.,PARTITO COMUNISTA MARCO RIZZO,DEMOS DEMOCRAZIA SOLIDALE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,RICONQUISTARE L'ITALIA,MOVIMENTO STORICO ROMANO LISTA NERONE,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,LISTA CIVICA LE TORRI NICOLA FRANCO PRESIDENTE,TOTALE,MUNICIPIO,AFFLUENZA
752,40,9,2,4,2,1,0,1,38,5,1,0,8,1,0,10,24,5,59,13,6,1,230,6,0.3234880450070324
753,52,5,5,13,5,5,0,9,37,5,2,1,52,2,0,23,33,2,26,14,7,10,308,6,0.41509433962264153
754,68,4,4,6,2,8,1,0,34,24,4,0,70,0,4,17,39,6,31,21,7,7,357,6,0.4559386973180077
755,51,0,3,0,1,8,2,2,39,10,6,0,72,0,0,34,44,9,56,23,11,6,377,6,0.4536702767749699
756,68,0,0,1,0,9,0,2,41,8,3,0,3,0,0,22,50,9,26,12,12,9,275,6,0.34076827757125155
757,59,1,3,2,2,3,4,2,40,14,0,2,73,0,0,31,37,9,37,20,14,16,369,6,0.484251968503937
758,71,1,7,6,3,2,2,4,38,25,5,2,66,0,1,22,38,10,45,15,7,29,399,6,0.4126163391933816
759,132,6,2,7,5,6,4,1,71,20,3,1,29,1,0,37,62,16,79,26,9,10,527,6,0.5501043841336117
760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
761,104,5,9,7,1,3,8,9,73,15,2,3,35,1,1,32,55,14,74,27,27,8,513,6,0.5288659793814433
762,117,21,9,11,5,1,3,4,41,14,5,9,43,2,1,43,62,11,38,24,10,56,530,6,0.4719501335707925
763,37,0,17,7,0,10,0,8,50,13,3,0,30,2,0,22,51,12,25,63,7,16,373,6,0.2907248636009353
764,103,3,6,9,1,13,7,4,44,18,5,2,21,1,0,48,53,22,44,22,18,16,460,6,0.3718674211802749
765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
766,104,3,7,3,5,4,3,8,54,21,2,2,25,2,1,42,74,13,64,25,19,6,487,6,0.4256993006993007
767,80,4,2,1,2,0,5,3,40,14,4,1,28,0,0,26,44,9,37,22,8,5,335,6,0.4026442307692308
768,98,4,0,3,3,2,3,3,37,19,2,1,37,1,0,35,47,9,35,15,9,1,364,6,0.42773207990599293
769,92,8,10,2,2,1,4,1,101,16,1,0,34,1,2,46,69,10,66,18,6,8,498,6,0.41743503772003354
770,119,3,4,5,3,1,4,4,51,48,1,2,32,0,2,51,67,9,44,18,15,1,484,6,0.39222042139384117
771,72,5,3,2,3,6,1,1,74,14,4,1,28,1,1,35,59,16,48,26,17,2,419,6,0.39640491958372753
772,47,7,1,1,0,1,2,1,23,5,6,0,0,0,5,12,0,0,14,0,11,3,139,6,0.15291529152915292
773,78,0,0,2,1,0,1,2,56,9,6,1,26,3,16,23,37,20,29,15,10,0,335,6,0.4367666232073012
