SEZIONE,PARTITO DELLE BUONE MANIERE,MPL MOVIMENTO POLITICO LIBERTAS,"IL POPOLO DELLA FAMIGLIA ""NO GENDER NELLE SCUOLE""",DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,PARTITO SOCIALISTA ITALIANO PSI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,CALENDA SINDACO,PARTITO COMUNISTA MARCO RIZZO,POTERE AL POPOLO,FIGLI D'ITALIA BAMBINI NEL MONDO CARLO PRIOLO SINDACO,MOVIMENTO STORICO ROMANO LISTA NERONE,REVOLUZIONE CIVICA,RICONQUISTARE L'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE DI,PARTITO LIBERALE EUROPEO ROMA CON MICHETTI,ITALIA DEI VALORI,VERITA' 3V LIBERTA',CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDACA,"SPORTIVI PER ROMA ""VIRGINIA RAGGI SINDACA""","MOVIMENTO CINQUE STELLE ""2050""","ROMA DECIDE ""VIRGINIA RAGGI SINDACA""","LISTA CIVICA ""VIRGINIA RAGGI""","CON LE DONNE PER ROMA ""VIRGINIA RAGGI SINDACA""",PARTITO COMUNISTA DEI LAVORATORI,PCI,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,PROGETTO CIVICO ATTIVA ROMA,MOVIMENTO IDEA SOCIALE M.I.S.,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,TOTALE,AFFLUENZA
1048,0,1,0,1,7,1,4,5,2,51,34,3,2,0,0,5,1,47,4,9,20,11,0,0,2,0,2,32,1,25,0,0,2,1,0,1,2,276,0.39826839826839827
1049,0,0,1,11,23,0,4,4,2,64,28,1,3,0,0,6,0,57,9,1,22,5,0,0,1,4,2,35,0,12,1,0,3,1,0,0,2,302,0.46390168970814133
1050,1,2,1,3,25,0,9,14,1,51,41,6,1,0,0,16,0,45,8,11,15,5,0,0,1,7,0,46,1,21,2,0,2,3,1,1,1,341,0.55
1051,0,0,0,0,24,2,6,11,2,50,27,0,2,0,0,15,0,52,8,7,25,6,3,0,2,1,1,28,1,14,0,0,0,0,0,0,3,291,0.46634615384615385
1052,1,0,1,2,25,1,7,9,3,48,50,0,1,0,0,8,2,50,5,1,19,7,0,0,0,4,1,40,0,19,3,0,2,1,0,0,1,311,0.46142433234421365
1053,0,0,2,1,27,0,7,6,7,51,30,0,6,0,0,5,0,50,3,4,16,11,0,0,0,2,1,7,0,18,2,0,1,0,0,0,0,257,0.3629943502824859
1054,0,0,0,1,25,2,4,16,0,65,49,3,1,0,2,6,0,58,7,12,27,11,6,0,4,3,2,44,0,21,2,0,4,1,0,4,5,385,0.4935897435897436
1055,0,0,0,1,24,1,0,7,0,55,52,1,0,0,0,4,1,62,14,8,20,13,1,0,0,2,3,39,1,21,0,0,3,1,0,0,5,339,0.43405889884763127
1056,0,0,0,1,13,0,7,6,2,75,47,2,5,0,1,9,1,54,6,9,16,9,0,0,5,1,2,47,1,7,1,0,1,2,0,1,3,334,0.3938679245283019
1057,0,0,3,1,26,2,1,13,6,46,34,4,1,0,0,10,0,36,5,3,11,9,0,0,4,2,2,21,0,8,0,0,1,0,0,0,5,254,0.525879917184265
1058,0,0,0,2,22,1,8,11,2,87,54,3,0,0,0,5,0,81,9,8,23,14,0,0,0,4,3,53,0,27,2,0,2,1,0,1,0,423,0.501779359430605
1059,0,0,1,0,18,1,1,5,1,44,103,0,0,0,0,3,2,125,13,15,18,15,0,0,5,3,0,33,1,13,1,0,1,1,0,0,1,424,0.5913528591352859
1060,0,0,1,8,44,3,10,8,4,83,60,2,3,0,0,14,0,58,11,4,24,13,1,1,2,5,3,38,0,17,0,1,1,1,0,2,2,424,0.4732142857142857
1061,0,0,0,2,22,0,4,10,0,39,49,2,3,0,0,6,1,43,4,4,17,18,1,0,1,5,4,69,0,29,2,0,3,1,0,1,2,342,0.4424320827943079
1062,0,0,0,2,12,0,6,5,0,57,20,1,1,0,0,7,0,65,7,6,23,5,2,1,2,2,2,55,1,20,4,0,3,1,1,0,7,318,0.3763313609467456
1063,0,0,3,2,27,0,6,12,6,58,53,0,5,0,0,5,1,54,8,10,19,16,0,4,3,5,1,51,0,22,1,0,1,2,0,0,3,378,0.47368421052631576
1064,0,0,0,0,24,1,1,15,4,88,58,3,2,0,0,7,0,40,13,8,17,14,0,0,3,6,8,44,2,17,3,0,3,0,0,0,6,388,0.5052083333333334
1065,0,0,1,3,20,0,1,10,3,88,43,1,1,0,0,4,1,49,11,7,14,11,0,1,3,1,0,40,0,17,4,0,1,2,0,3,1,341,0.458950201884253
1066,0,0,1,4,30,2,1,8,5,100,59,1,1,0,0,15,0,85,12,10,27,20,0,0,2,3,1,71,1,22,1,0,4,2,0,0,1,489,0.5482062780269058
1067,0,0,1,0,23,0,10,4,2,63,50,5,2,0,0,18,0,48,12,8,12,7,2,2,1,5,4,61,0,29,5,0,1,0,0,0,2,378,0.4967148488830486
1068,0,0,2,2,19,1,2,6,1,46,45,0,1,0,1,5,1,33,4,9,14,8,0,0,2,3,3,25,0,16,0,0,0,1,0,2,1,253,0.524896265560166
