SEZIONE,LISTA CIVICA VIRGINIA RAGGI,RICONQUISTARE L'ITALIA,PARTITO COMUNISTA MARCO RIZZO,MOVIMENTO STORICO ROMANO LISTA NERONE,POTERE AL POPOLO,REVOLUZIONE CIVICA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,MPL MOVIMENTO POLITICO LIBERTAS,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,LISTA CIVICA GUALTIERI SINDACO,DEMOS DEMOCRAZIA SOLIDALE,IMPEGNO CIVICO CALISTE PRESIDENTE,SINISTRA CIVICA ECOLOGISTA,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,PD PARTITO DEMOCRATICO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
443,13,1,7,0,13,0,16,0,17,28,5,45,5,34,8,20,2,15,17,47,44,0,27,364,5,0.44772447724477243
444,1,3,5,0,2,4,2,0,21,29,10,77,10,44,6,19,33,21,32,39,4,33,16,411,5,0.5407894736842105
445,16,0,0,0,8,1,2,1,20,31,8,66,9,35,2,28,5,75,5,24,64,0,28,428,5,0.48361581920903957
446,7,2,4,0,11,0,6,0,4,32,10,31,5,15,10,16,15,35,12,26,49,1,17,308,5,0.40686922060766184
447,17,0,6,0,7,2,5,1,12,46,7,70,10,27,10,24,5,35,14,27,54,0,47,426,5,0.5426751592356688
448,13,1,2,0,4,1,2,1,3,30,2,23,4,10,4,14,8,5,8,15,24,0,17,191,5,0.3504587155963303
450,21,0,7,0,11,1,3,0,12,73,17,77,7,48,4,19,6,37,9,22,51,2,48,475,5,0.5828220858895705
451,14,1,2,0,5,2,11,0,12,42,12,59,10,26,5,17,14,35,6,18,48,1,22,362,5,0.5062937062937063
452,12,0,1,0,5,1,1,0,10,36,13,94,9,31,7,18,2,32,11,18,43,0,26,370,5,0.5263157894736842
453,17,0,1,1,5,2,5,1,9,19,11,64,10,32,2,23,5,43,11,19,39,0,20,339,5,0.49416909620991256
454,22,0,4,2,8,3,3,0,12,37,7,61,10,37,10,23,3,37,10,21,71,2,40,423,5,0.48788927335640137
455,24,2,4,0,0,0,0,2,12,15,7,97,13,54,5,20,0,15,14,17,64,2,33,400,5,0.5102040816326531
456,18,1,3,0,3,2,4,0,15,18,15,83,6,44,11,14,3,3,14,16,46,1,50,370,5,0.46365914786967416
457,17,1,4,0,9,2,4,1,10,24,7,84,7,59,7,22,0,21,13,13,89,0,34,428,5,0.6036671368124118
458,19,0,2,2,6,1,4,1,15,32,9,89,4,55,6,30,6,18,7,24,72,5,50,457,5,0.5621156211562116
459,20,0,7,2,3,1,2,2,5,32,0,89,6,52,2,21,4,21,12,18,77,0,56,432,5,0.5161290322580645
460,23,2,5,1,7,1,7,7,14,26,12,87,8,29,4,18,2,15,14,24,57,2,54,419,5,0.538560411311054
461,27,1,5,1,11,19,1,0,9,13,10,54,4,34,8,16,3,17,7,24,46,3,33,346,5,0.48732394366197185
462,29,2,8,0,5,2,2,0,16,28,11,64,16,53,4,24,0,6,10,20,86,0,51,437,5,0.5329268292682927
463,31,5,4,2,7,3,1,1,7,23,4,85,13,40,4,46,3,11,6,20,83,3,34,436,5,0.49209932279909707
464,22,3,4,2,4,2,8,1,15,31,7,75,7,42,5,24,1,14,4,10,92,0,35,408,5,0.49454545454545457
465,31,2,1,0,1,6,3,0,9,40,9,80,10,62,7,20,1,13,5,20,68,0,46,434,5,0.5178997613365155
466,29,1,3,2,1,4,2,0,6,33,6,48,6,41,2,14,1,9,7,29,49,0,37,330,5,0.3654485049833887
467,28,0,4,2,4,3,2,1,19,34,5,81,13,54,5,20,1,9,2,8,149,2,29,475,5,0.5102040816326531
468,36,0,7,2,5,2,7,0,15,25,7,64,13,47,4,22,2,21,6,17,66,2,50,420,5,0.5072463768115942
469,22,0,7,0,6,1,1,1,15,29,1,92,15,43,4,17,3,10,6,12,101,2,32,420,5,0.46255506607929514
470,25,2,3,1,2,2,2,0,17,32,14,98,7,32,1,10,3,17,2,9,57,1,36,373,5,0.4703656998738966
471,16,1,2,0,6,1,2,0,10,20,4,28,2,34,4,17,2,22,10,21,68,2,23,295,5,0.5694980694980695
472,20,2,1,0,4,0,0,2,7,45,3,67,5,73,4,13,2,16,5,12,67,2,20,370,5,0.5674846625766872
473,12,1,4,0,4,2,5,0,3,22,2,76,6,55,4,9,1,28,15,4,36,1,25,315,5,0.5536028119507909
474,17,0,3,2,7,0,2,0,9,9,4,51,1,53,2,15,0,20,22,8,82,0,23,330,5,0.5729166666666666
475,25,1,3,0,6,1,4,0,16,31,7,90,13,130,7,28,2,49,14,5,105,3,48,588,5,0.5419354838709678
476,8,3,1,0,3,1,0,0,12,15,4,38,5,29,3,6,3,12,6,5,37,1,15,207,5,0.4115308151093439
478,20,1,9,2,0,1,1,0,8,16,12,52,13,72,6,11,3,24,10,19,91,0,38,409,5,0.597953216374269
479,15,0,6,0,2,1,3,1,5,24,10,65,5,74,3,13,1,27,3,10,31,1,25,325,5,0.5126182965299685
480,18,0,5,1,3,2,2,1,17,28,7,68,17,49,5,35,6,15,5,8,58,1,32,383,5,0.5013089005235603
481,17,1,6,1,4,5,4,0,3,37,10,72,7,43,5,38,1,10,7,12,56,1,29,369,5,0.48046875
482,11,1,2,3,4,0,0,0,6,25,12,52,12,27,8,32,4,7,11,14,42,3,26,302,5,0.4402332361516035
483,31,3,7,2,9,1,3,0,6,26,6,78,12,40,5,35,2,18,5,6,64,0,33,392,5,0.4803921568627451
484,21,3,6,0,4,4,5,0,19,35,2,89,10,51,7,29,3,18,8,12,58,0,30,414,5,0.46621621621621623
485,29,0,8,1,2,3,2,4,18,24,7,73,8,30,1,31,4,16,6,8,56,1,36,368,5,0.4681933842239186
486,31,2,3,1,14,3,5,1,8,33,7,58,3,31,4,22,3,18,7,16,41,0,37,348,5,0.5370370370370371
487,35,1,4,0,14,1,5,2,10,18,8,78,4,28,8,29,1,12,6,5,40,0,32,341,5,0.4257178526841448
488,33,2,3,2,8,2,4,0,12,25,7,55,4,38,11,37,8,25,10,18,33,5,32,374,5,0.4764331210191083
489,21,0,2,0,15,1,0,0,4,21,10,29,5,18,4,9,6,17,5,15,53,0,28,263,5,0.39430284857571213
490,17,0,4,1,6,4,0,0,9,15,6,30,11,14,9,11,5,24,6,5,31,0,31,239,5,0.4425925925925926
492,26,3,8,1,7,0,6,0,17,27,4,91,18,30,4,32,4,31,12,23,69,1,61,475,5,0.44938505203405865
493,13,1,4,1,5,2,0,2,8,22,12,82,17,27,3,22,2,18,7,16,51,2,39,356,5,0.38238453276047263
494,26,0,7,1,6,2,5,0,18,32,6,93,15,35,4,23,2,24,5,20,93,2,29,448,5,0.448
495,24,2,4,2,4,1,5,0,6,8,4,35,9,41,5,37,1,13,2,21,57,2,27,310,5,0.3471444568868981
496,21,5,7,1,4,1,0,0,14,19,8,95,8,31,8,25,3,10,11,31,78,2,40,422,5,0.44989339019189767
497,25,5,8,2,7,3,4,1,10,31,6,111,11,51,3,25,2,25,14,9,77,2,67,499,5,0.4400352733686067
499,27,2,3,0,3,1,1,4,11,15,4,72,11,29,0,23,0,17,5,8,57,0,33,326,5,0.43178807947019865
500,19,0,6,1,8,2,8,3,10,14,9,78,10,36,4,41,2,12,16,18,50,1,53,401,5,0.46091954022988507
501,19,12,5,0,5,2,4,0,12,22,3,81,8,23,6,31,3,17,9,11,28,4,25,330,5,0.4156171284634761
502,24,5,5,1,9,1,3,2,10,17,9,89,17,34,1,35,1,8,11,13,106,1,40,442,5,0.5127610208816705
503,20,1,1,0,5,1,3,0,8,22,6,142,10,34,3,20,2,5,13,14,85,2,33,430,5,0.5029239766081871
504,26,0,4,0,11,0,9,0,13,12,7,66,5,35,6,26,1,13,14,15,36,9,40,348,5,0.4259485924112607
505,24,1,8,0,14,0,3,0,15,18,4,74,6,44,4,23,2,19,16,13,94,0,52,434,5,0.49095022624434387
506,26,4,3,0,4,0,3,0,17,7,19,83,30,29,1,1,4,35,22,10,9,0,29,336,5,0.4380704041720991
507,16,0,3,0,9,2,1,0,3,19,16,70,6,34,1,21,4,10,6,9,33,0,34,297,5,0.3832258064516129
508,33,0,5,1,13,0,3,0,5,34,7,72,9,37,13,21,2,17,6,28,70,2,46,424,5,0.4700665188470067
509,34,0,10,2,4,2,0,1,6,20,8,87,7,25,7,44,4,18,11,26,80,3,54,453,5,0.4819148936170213
