SEZIONE,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,LISTA CIVICA VIRGINIA RAGGI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PICCA PRESIDENTE,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,POTERE AL POPOLO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,REVOLUZIONE CIVICA,CALENDA SINDACO,RICONQUISTARE L'ITALIA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE - LABORATORIO CIVICO X -,LISTA CIVICA GUALTIERI SINDACO,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
2047,4,30,1,52,9,69,5,11,19,1,0,5,32,10,71,3,1,2,8,4,2,86,425,10,0.40399239543726234
2048,9,13,2,51,14,71,5,15,25,4,4,4,24,12,56,5,2,10,4,16,3,62,411,10,0.463882618510158
2049,7,14,9,51,10,93,11,13,9,4,2,1,55,0,57,14,3,14,14,25,2,72,480,10,0.5223068552774756
2050,9,31,2,28,11,73,4,5,17,4,0,11,34,1,86,11,2,5,12,13,5,100,464,10,0.49361702127659574
2051,3,20,4,44,13,87,13,17,20,2,1,4,50,1,159,7,8,13,16,21,5,84,592,10,0.556390977443609
2052,98,23,3,42,76,14,6,7,30,2,1,7,38,1,148,2,19,5,23,14,0,3,562,10,0.5536945812807882
2053,4,22,1,70,9,91,7,24,19,8,3,4,33,0,103,4,5,12,15,21,6,93,554,10,0.4612822647793505
2054,2,27,2,59,12,116,4,14,23,1,4,9,35,0,100,1,5,16,13,13,2,85,543,10,0.45363408521303256
2055,4,27,3,71,6,69,7,16,16,5,1,2,20,3,73,3,2,1,8,11,5,80,433,10,0.46359743040685225
2056,2,31,7,55,12,110,11,10,28,3,1,2,19,0,55,3,3,6,5,18,4,115,500,10,0.38255547054322875
2185,3,20,4,34,17,76,4,24,15,4,2,5,32,1,76,7,5,9,7,14,9,61,429,10,0.47879464285714285
2188,7,21,0,50,16,64,11,3,16,2,6,1,27,2,60,4,5,3,10,4,2,62,376,10,0.4367015098722416
